1/2007	one two thousand seventh
131/2009	one hundred thirty one two thousand ninths
2/5	two fifths
104/3	one hundred four thirds
20/25	twenty twenty fifths
4/73	four seventy thirds
3/45	three forty fifths
101910/11	one hundred one thousand nine hundred ten elevenths
1/23	one twenty third
12/1	twelve over one
2/1987	two one thousand nine hundred eighty sevenths
12/30	twelve thirtieths
2/3	two thirds
3/4	three quarters
3/3	three thirds
30/0	thirty zeroths
4/84	four eighty fourths
1946/47	one thousand nine hundred forty six forty sevenths
2009/10	two thousand nine tenths
-1/2	minus one half
20/20	twenty twentieths
15/16	fifteen sixteenths
1/5	one fifth
2014 / 18	two thousand fourteen eighteenths
7/22	seven twenty seconds
7/4	seven quarters
19061/19062	nineteen thousand sixty one nineteen thousand sixty seconds
4/242	four two hundred forty seconds
2/196	two one hundred ninety sixths
557/96	five hundred fifty seven ninety sixths
8½	eight and a half
1/1000	one one thousandth
168/27	one hundred sixty eight twenty sevenths
1/2	one half
6/30	six thirtieths
6/8	six eighths
6/8	six eighths
2/3	two thirds
5/2001	five two thousand firsts
46/2012	forty six two thousand twelfths
1 ½	one and a half
1364/5	one thousand three hundred sixty four fifths
1/4	one quarter
1/33	one thirty third
1/2	one half
7/2	seven halves
3/8	three eighths
½	one half
343/344	three hundred forty three three hundred forty fourths
3520/3540	three thousand five hundred twenty three thousand five hundred fortieths
1/2	one half
10/1	ten over one
1946/47	one thousand nine hundred forty six forty sevenths
2010/11	two thousand ten elevenths
1946/47	one thousand nine hundred forty six forty sevenths
2009/10	two thousand nine tenths
1/2	one half
1/3	one third
319/3	three hundred nineteen thirds
8/2001	eight two thousand firsts
2/4	two quarters
10/12	ten twelfths
5¾	five and three quarters
4/85	four eighty fifths
8/9	eight ninths
4/5	four fifths
1207/8	one thousand two hundred seven eighths
18/36	eighteen thirty sixths
7/10	seven tenths
3/10	three tenths
1450/1	one thousand four hundred fifty over one
16754/14	sixteen thousand seven hundred fifty four fourteenths
16753/14	sixteen thousand seven hundred fifty three fourteenths
24½	twenty four and a half
1/2	one half
243/2014	two hundred forty three two thousand fourteenths
8/9	eight ninths
55/57	fifty five fifty sevenths
3835/2	three thousand eight hundred thirty five halves
1/4	one quarter
30/6	thirty sixths
30/9	thirty ninths
2498/1951	two thousand four hundred ninety eight one thousand nine hundred fifty firsts
5/7	five sevenths
26/11	twenty six elevenths
1/31	one thirty first
8/11	eight elevenths
1922/3	one thousand nine hundred twenty two thirds
100 / 25	one hundred twenty fifths
4/7	four sevenths
3 1/2	three and a half
12/13	twelve thirteenths
1754/55	one thousand seven hundred fifty four fifty fifths
16/2012	sixteen two thousand twelfths
13/18	thirteen eighteenths
821/823	eight hundred twenty one eight hundred twenty thirds
12½	twelve and a half
100/200	one hundred two hundredths
1/2	one half
24/7	twenty four sevenths
1975/6	one thousand nine hundred seventy five sixths
12/24	twelve twenty fourths
1/16	one sixteenth
12/20	twelve twentieths
4/4	four quarters
-1/2	minus one half
16½	sixteen and a half
3/23	three twenty thirds
6/19	six nineteenths
4/4	four quarters
159/57	one hundred fifty nine fifty sevenths
509/5	five hundred nine fifths
3/5	three fifths
54/1	fifty four over one
1/2	one half
2/3	two thirds
1995/6	one thousand nine hundred ninety five sixths
6/9	six ninths
3/2	three halves
85 / 86	eighty five eighty sixths
173 / 174	one hundred seventy three one hundred seventy fourths
12/1989	twelve one thousand nine hundred eighty ninths
0/65	zero sixty fifths
6/247	six two hundred forty sevenths
-1/2	minus one half
12/24	twelve twenty fourths
120/6	one hundred twenty sixths
-3/4	minus three quarters
80/20	eighty twentieths
24/25	twenty four twenty fifths
75/26	seventy five twenty sixths
75/27	seventy five twenty sevenths
3½	three and a half
1½	one and a half
418/339	four hundred eighteen three hundred thirty ninths
8/8	eight eighths
5000/194	five thousand one hundred ninety fourths
4122/5122	four thousand one hundred twenty two five thousand one hundred twenty seconds
1/4	one quarter
12/2	twelve halves
29/30	twenty nine thirtieths
14/15	fourteen fifteenths
60/252	sixty two hundred fifty seconds
1928/9	one thousand nine hundred twenty eight ninths
1836/37	one thousand eight hundred thirty six thirty sevenths
1/47	one forty seventh
1/23	one twenty third
2/33	two thirty thirds
1/137	one one hundred thirty seventh
1/32	one thirty second
100/90	one hundred ninetieths
1/8	one eighth
⅛	one eighth
19/2	nineteen halves
865/866	eight hundred sixty five eight hundred sixty sixths
288 056/57	two hundred eighty eight thousand fifty six fifty sevenths
1½	one and a half
175/1	one hundred seventy five over one
210/9	two hundred ten ninths
19/2009	nineteen two thousand ninths
9/20	nine twentieths
1/28	one twenty eighth
3/5	three fifths
1/100	one one hundredth
23/2011	twenty three two thousand elevenths
12/1	twelve over one
42/159	forty two one hundred fifty ninths
12/12	twelve twelfths
13¾	thirteen and three quarters
1/1991	one one thousand nine hundred ninety first
8/20	eight twentieths
9/37	nine thirty sevenths
2/6	two sixths
6/6	six sixths
1888/90	one thousand eight hundred eighty eight ninetieths
1/1	one over one
2 1/2	two and a half
6/4	six quarters
1924/5	one thousand nine hundred twenty four fifths
1/5	one fifth
11/2010	eleven two thousand tenths
1/5	one fifth
1/5	one fifth
90/ 3	ninety thirds
1/5	one fifth
11/8	eleven eighths
6/128	six one hundred twenty eighths
2/3	two thirds
46 / 2009	forty six two thousand ninths
77/357,506	seventy seven three hundred fifty seven thousand five hundred sixths
3½	three and a half
5/2	five halves
4/5	four fifths
7/60	seven sixtieths
10 1/13	ten and a thirteenth
150/2	one hundred fifty halves
0/110	zero one hundred tenths
7½	seven and a half
1906/7	one thousand nine hundred six sevenths
210/118	two hundred ten one hundred eighteenths
61/260	sixty one two hundred sixtieths
40/43	forty forty thirds
95/24155	ninety five twenty four thousand one hundred fifty fifths
8/21	eight twenty firsts
4/4	four quarters
6/27	six twenty sevenths
901/10	nine hundred one tenths
1315/16	one thousand three hundred fifteen sixteenths
2/2013	two two thousand thirteenths
-5/18	minus five eighteenths
23/8	twenty three eighths
12/13	twelve thirteenths
171/2	one hundred seventy one halves
24/7	twenty four sevenths
17/27	seventeen twenty sevenths
8/2014	eight two thousand fourteenths
86/1	eighty six over one
41/1	forty one over one
81/23	eighty one twenty thirds
5 1/3	five and a third
54/55	fifty four fifty fifths
243/2014	two hundred forty three two thousand fourteenths
6/70	six seventieths
5/7	five sevenths
21/21	twenty one twenty firsts
8/7	eight sevenths
10/22	ten twenty seconds
1002/14356007	one thousand two fourteen million three hundred fifty six thousand sevenths
1/683	one six hundred eighty third
1/2	one half
8/1	eight over one
1968/95	one thousand nine hundred sixty eight ninety fifths
2001/80	two thousand one eightieths
1/51	one fifty first
2/3	two thirds
3/21	three twenty firsts
136 / 2550	one hundred thirty six two thousand five hundred fiftieths
⅔	two thirds
9/11	nine elevenths
1/16	one sixteenth
11/27	eleven twenty sevenths
-3202/11	minus three thousand two hundred two elevenths
16/2	sixteen halves
12/16	twelve sixteenths
13/31	thirteen thirty firsts
298/300	two hundred ninety eight three hundredths
41 / 61	forty one sixty firsts
1939/50	one thousand nine hundred thirty nine fiftieths
53/13	fifty three thirteenths
2/3	two thirds
1/450	one four hundred fiftieth
-1/2	minus one half
4½	four and a half
337/336	three hundred thirty seven three hundred thirty sixths
318/1	three hundred eighteen over one
49/50	forty nine fiftieths
263/283	two hundred sixty three two hundred eighty thirds
21/2012	twenty one two thousand twelfths
20/20	twenty twentieths
9/10	nine tenths
16/2	sixteen halves
162/82	one hundred sixty two eighty seconds
4/1992	four one thousand nine hundred ninety seconds
½	one half
5/2001	five two thousand firsts
6/1980	six one thousand nine hundred eightieths
1/2	one half
34/40	thirty four fortieths
400/800	four hundred eight hundredths
7/14	seven fourteenths
3/2011	three two thousand elevenths
6/18	six eighteenths
66/4	sixty six quarters
3/21	three twenty firsts
53/4	fifty three quarters
1964 1/2	one thousand nine hundred sixty four and a half
1832/34	one thousand eight hundred thirty two thirty fourths
520/521	five hundred twenty five hundred twenty firsts
53/100 000	fifty three one hundred thousandths
490/12	four hundred ninety twelfths
970/2007	nine hundred seventy two thousand sevenths
21/1985	twenty one one thousand nine hundred eighty fifths
902/1999	nine hundred two one thousand nine hundred ninety ninths
1½	one and a half
3/4	three quarters
2/3	two thirds
2 ½	two and a half
79/80	seventy nine eightieths
½	one half
59/100	fifty nine one hundredths
4/6	four sixths
4/1	four over one
8/1	eight over one
10/1	ten over one
936/16	nine hundred thirty six sixteenths
1/2	one half
1878/9	one thousand eight hundred seventy eight ninths
189/2004	one hundred eighty nine two thousand fourths
21/1995	twenty one one thousand nine hundred ninety fifths
24/7	twenty four sevenths
3/100	three one hundredths
24/7	twenty four sevenths
11/12	eleven twelfths
67/68	sixty seven sixty eighths
952/955	nine hundred fifty two nine hundred fifty fifths
2/14	two fourteenths
153/2006	one hundred fifty three two thousand sixths
154/2006	one hundred fifty four two thousand sixths
-1/2	minus one half
7/5	seven fifths
10/16	ten sixteenths
11/35	eleven thirty fifths
18/2008	eighteen two thousand eighths
2005/6	two thousand five sixths
2006/7	two thousand six sevenths
10/11	ten elevenths
2 1/2	two and a half
6/26	six twenty sixths
21/22	twenty one twenty seconds
81/41	eighty one forty firsts
34/10	thirty four tenths
14/15	fourteen fifteenths
7/1	seven over one
2/2	two halves
1/14	one fourteenth
11/11	eleven elevenths
1991/16	one thousand nine hundred ninety one sixteenths
3/2004	three two thousand fourths
7/10	seven tenths
9/11	nine elevenths
9/14	nine fourteenths
500/5000	five hundred five thousandths
3/13	three thirteenths
1890/91	one thousand eight hundred ninety ninety firsts
8/10	eight tenths
50/100	fifty one hundredths
12/14	twelve fourteenths
52/53	fifty two fifty thirds
65/5	sixty five fifths
1/3	one third
1/60	one sixtieth
2014/95	two thousand fourteen ninety fifths
120/130	one hundred twenty one hundred thirtieths
140/150	one hundred forty one hundred fiftieths
2/23	two twenty thirds
10/28	ten twenty eighths
10/20	ten twentieths
11/5	eleven fifths
4/33	four thirty thirds
243/2014	two hundred forty three two thousand fourteenths
1/86	one eighty sixth
4/4	four quarters
10/13	ten thirteenths
451/452	four hundred fifty one four hundred fifty seconds
9/40	nine fortieths
1974/5	one thousand nine hundred seventy four fifths
1982/3	one thousand nine hundred eighty two thirds
1/3	one third
1/16	one sixteenth
8/13	eight thirteenths
-1/2	minus one half
873/874	eight hundred seventy three eight hundred seventy fourths
24/7	twenty four sevenths
1¼	one and a quarter
29 ½	twenty nine and a half
243/2014	two hundred forty three two thousand fourteenths
4/1	four over one
1/2	one half
5/1986	five one thousand nine hundred eighty sixths
-1/2	minus one half
1/4	one quarter
22½	twenty two and a half
3/4	three quarters
1968/71	one thousand nine hundred sixty eight seventy firsts
1336/7	one thousand three hundred thirty six sevenths
8/10	eight tenths
8/5	eight fifths
17/1	seventeen over one
4/4	four quarters
9/4	nine quarters
⅞	seven eighths
⅝	five eighths
3/3	three thirds
1/1	one over one
3/3	three thirds
3/3	three thirds
1/130	one one hundred thirtieth
12951/52	twelve thousand nine hundred fifty one fifty seconds
1/5	one fifth
12/13	twelve thirteenths
195/9	one hundred ninety five ninths
61/2	sixty one halves
26/11	twenty six elevenths
36,578/15	thirty six thousand five hundred seventy eight fifteenths
9/1	nine over one
1887/88	one thousand eight hundred eighty seven eighty eighths
25/30	twenty five thirtieths
30/3520	thirty three thousand five hundred twentieths
427/4	four hundred twenty seven quarters
1946/47	one thousand nine hundred forty six forty sevenths
2011/12	two thousand eleven twelfths
3/45	three forty fifths
2003/88	two thousand three eighty eighths
9/11	nine elevenths
61/110	sixty one one hundred tenths
2 1/2	two and a half
88/22	eighty eight twenty seconds
1/3	one third
13/31	thirteen thirty firsts
25/2012	twenty five two thousand twelfths
19241/1942	nineteen thousand two hundred forty one one thousand nine hundred forty seconds
1/8	one eighth
1/2	one half
1/19	one nineteenth
4/51	four fifty firsts
1/3	one third
31/3208	thirty one three thousand two hundred eighths
1/6	one sixth
74/72	seventy four seventy seconds
2010/12	two thousand ten twelfths
4/16	four sixteenths
-1/2	minus one half
1026/82	one thousand twenty six eighty seconds
1946/47	one thousand nine hundred forty six forty sevenths
2011/12	two thousand eleven twelfths
19/30	nineteen thirtieths
56/2012	fifty six two thousand twelfths
34/96	thirty four ninety sixths
1/2	one half
1¼	one and a quarter
56/100	fifty six one hundredths
6¾	six and three quarters
63/65	sixty three sixty fifths
2/36	two thirty sixths
8/10	eight tenths
-1913/18	minus one thousand nine hundred thirteen eighteenths
8/1	eight over one
1130/1	one thousand one hundred thirty over one
79/33	seventy nine thirty thirds
2004/698	two thousand four six hundred ninety eighths
100/6	one hundred sixths
1662/63	one thousand six hundred sixty two sixty thirds
3/4	three quarters
1548/58	one thousand five hundred forty eight fifty eighths
1/3	one third
243/2014	two hundred forty three two thousand fourteenths
5½	five and a half
371/135561	three hundred seventy one one hundred thirty five thousand five hundred sixty firsts
2002/4	two thousand two quarters
9/19	nine nineteenths
6/2	six halves
9/11	nine elevenths
4/4	four quarters
56/4	fifty six quarters
68/4	sixty eight quarters
24/7	twenty four sevenths
810/800	eight hundred ten eight hundredths
4/8	four eighths
3/5	three fifths
9200/9300	nine thousand two hundred nine thousand three hundredths
1897/98	one thousand eight hundred ninety seven ninety eighths
1507/8	one thousand five hundred seven eighths
8/1916	eight one thousand nine hundred sixteenths
1723/4	one thousand seven hundred twenty three quarters
9/10	nine tenths
44/1	forty four over one
57/58	fifty seven fifty eighths
2006/3333	two thousand six three thousand three hundred thirty thirds
9/11	nine elevenths
115/2014	one hundred fifteen two thousand fourteenths
3053/4094	three thousand fifty three four thousand ninety fourths
2 1/2	two and a half
7/1889	seven one thousand eight hundred eighty ninths
6/2007	six two thousand sevenths
1370/1	one thousand three hundred seventy over one
3½	three and a half
10/2008	ten two thousand eighths
2/1995	two one thousand nine hundred ninety fifths
9/11	nine elevenths
-714/717	minus seven hundred fourteen seven hundred seventeenths
8/3	eight thirds
9/1	nine over one
1/2	one half
1/4	one quarter
58/100	fifty eight one hundredths
1½	one and a half
96/1980	ninety six one thousand nine hundred eightieths
10/11	ten elevenths
80/5	eighty fifths
3/4	three quarters
5/1	five over one
21/2061	twenty one two thousand sixty firsts
2013/4	two thousand thirteen quarters
4/13	four thirteenths
93/100	ninety three one hundredths
4/19	four nineteenths
83/11	eighty three elevenths
83/11	eighty three elevenths
1½	one and a half
78/100	seventy eight one hundredths
5/38	five thirty eighths
74/872	seventy four eight hundred seventy seconds
24/7	twenty four sevenths
5/2001	five two thousand firsts
2/26	two twenty sixths
27/28	twenty seven twenty eighths
42/82	forty two eighty seconds
11/29	eleven twenty ninths
13/14	thirteen fourteenths
30/415	thirty four hundred fifteenths
11/2	eleven halves
1728/29	one thousand seven hundred twenty eight twenty ninths
4/4	four quarters
1/4	one quarter
1/2	one half
7/20	seven twentieths
125/330	one hundred twenty five three hundred thirtieths
2012/3013	two thousand twelve three thousand thirteenths
6/6	six sixths
52/1982	fifty two one thousand nine hundred eighty seconds
12/13	twelve thirteenths
1 1/2	one and a half
455 / 456	four hundred fifty five four hundred fifty sixths
447/448	four hundred forty seven four hundred forty eighths
30/30	thirty thirtieths
27/2010	twenty seven two thousand tenths
12/2001	twelve two thousand firsts
10/19	ten nineteenths
186/808	one hundred eighty six eight hundred eighths
184/185	one hundred eighty four one hundred eighty fifths
1837/78	one thousand eight hundred thirty seven seventy eighths
24/7	twenty four sevenths
1/25	one twenty fifth
68/69	sixty eight sixty ninths
172/6	one hundred seventy two sixths
1/10000	one ten thousandth
12/2009	twelve two thousand ninths
3/4	three quarters
243/2014	two hundred forty three two thousand fourteenths
21/22	twenty one twenty seconds
26/30	twenty six thirtieths
41/43	forty one forty thirds
26/180	twenty six one hundred eightieths
11/2008	eleven two thousand eighths
10/22	ten twenty seconds
10/25	ten twenty fifths
2/2	two halves
234/509	two hundred thirty four five hundred ninths
2004/4	two thousand four quarters
2644/1998	two thousand six hundred forty four one thousand nine hundred ninety eighths
29/130	twenty nine one hundred thirtieths
24/7	twenty four sevenths
1830/31	one thousand eight hundred thirty thirty firsts
1 1/2	one and a half
3/4	three quarters
124/1	one hundred twenty four over one
1168/78	one thousand one hundred sixty eight seventy eighths
13/2006	thirteen two thousand sixths
1 1/2	one and a half
1395/6	one thousand three hundred ninety five sixths
2/78	two seventy eighths
6/94	six ninety fourths
49/50	forty nine fiftieths
8½	eight and a half
9/11	nine elevenths
16⅓	sixteen and a third
12/13	twelve thirteenths
3 1/2	three and a half
94/9	ninety four ninths
12/31	twelve thirty firsts
12/2	twelve halves
5/2007	five two thousand sevenths
8/1993	eight one thousand nine hundred ninety thirds
24/7	twenty four sevenths
146 / 2007	one hundred forty six two thousand sevenths
256/938	two hundred fifty six nine hundred thirty eighths
391/9	three hundred ninety one ninths
4/2003	four two thousand thirds
10/2005	ten two thousand fifths
9½	nine and a half
2006/7	two thousand six sevenths
79/8	seventy nine eighths
1 9/16	one and nine sixteenths
1/2	one half
37/2	thirty seven halves
4/31	four thirty firsts
7/13	seven thirteenths
17/20	seventeen twentieths
1848/49	one thousand eight hundred forty eight forty ninths
311½	three hundred eleven and a half
1/4	one quarter
4/7	four sevenths
11½	eleven and a half
37/100	thirty seven one hundredths
243/2014	two hundred forty three two thousand fourteenths
4/8	four eighths
1/4	one quarter
-12/1993	minus twelve one thousand nine hundred ninety thirds
100/200	one hundred two hundredths
5/23	five twenty thirds
16/29	sixteen twenty ninths
243/2014	two hundred forty three two thousand fourteenths
11/10	eleven tenths
2/10	two tenths
221/222	two hundred twenty one two hundred twenty seconds
2½	two and a half
1998/77	one thousand nine hundred ninety eight seventy sevenths
129/1	one hundred twenty nine over one
11/13	eleven thirteenths
24/7	twenty four sevenths
1/2	one half
341/342	three hundred forty one three hundred forty seconds
70/2	seventy halves
1½	one and a half
12371/12372	twelve thousand three hundred seventy one twelve thousand three hundred seventy seconds
11/10	eleven tenths
3/2008	three two thousand eighths
3/2014	three two thousand fourteenths
24/7	twenty four sevenths
7½	seven and a half
11/8	eleven eighths
64 / 128	sixty four one hundred twenty eighths
6½	six and a half
148/149	one hundred forty eight one hundred forty ninths
-1/16	minus one sixteenth
1/3	one third
27/1	twenty seven over one
28/1	twenty eight over one
29/1	twenty nine over one
9/11	nine elevenths
7/8	seven eighths
7/10	seven tenths
6/4	six quarters
13/2	thirteen halves
9/14	nine fourteenths
5/15	five fifteenths
155/2000	one hundred fifty five two thousandths
3/1990	three one thousand nine hundred ninetieths
1991/94	one thousand nine hundred ninety one ninety fourths
68116/34	sixty eight thousand one hundred sixteen thirty fourths
1/4	one quarter
27/10	twenty seven tenths
½	one half
½	one half
½	one half
½	one half
50/1902	fifty one thousand nine hundred seconds
1/20	one twentieth
4/7	four sevenths
6/10	six tenths
1/4	one quarter
100/100	one hundred one hundredths
38/685	thirty eight six hundred eighty fifths
13/32	thirteen thirty seconds
2⅛	two and an eighth
-1/2	minus one half
3300/3400	three thousand three hundred three thousand four hundredths
259/2014	two hundred fifty nine two thousand fourteenths
5/6	five sixths
39/1	thirty nine over one
30/100	thirty one hundredths
2/3	two thirds
1/3	one third
14/15	fourteen fifteenths
10/20	ten twentieths
6/20	six twentieths
46/47	forty six forty sevenths
3/22	three twenty seconds
14/32	fourteen thirty seconds
7/26	seven twenty sixths
6/1933	six one thousand nine hundred thirty thirds
2½	two and a half
318/1	three hundred eighteen over one
318/4	three hundred eighteen quarters
33/98	thirty three ninety eighths
3/1990	three one thousand nine hundred ninetieths
15/20	fifteen twentieths
-1/2	minus one half
2⅔	two and two thirds
10/1977	ten one thousand nine hundred seventy sevenths
24½	twenty four and a half
50/60	fifty sixtieths
1½	one and a half
12/31	twelve thirty firsts
244/80	two hundred forty four eightieths
6/8	six eighths
3 4/17	three and four seventeenths
7/3	seven thirds
11/26	eleven twenty sixths
3/33	three thirty thirds
8/29	eight twenty ninths
10/4	ten quarters
1/57	one fifty seventh
20/6	twenty sixths
11/12	eleven twelfths
7/15	seven fifteenths
58/292	fifty eight two hundred ninety seconds
3/33	three thirty thirds
259/2014	two hundred fifty nine two thousand fourteenths
12821/12822	twelve thousand eight hundred twenty one twelve thousand eight hundred twenty seconds
1960/65	one thousand nine hundred sixty sixty fifths
100/90	one hundred ninetieths
85/95	eighty five ninety fifths
1554/5	one thousand five hundred fifty four fifths
6/27	six twenty sevenths
11/8	eleven eighths
1/4	one quarter
1/4	one quarter
259/2014	two hundred fifty nine two thousand fourteenths
11/12	eleven twelfths
27/2003	twenty seven two thousand thirds
1624/8	one thousand six hundred twenty four eighths
902/1670	nine hundred two one thousand six hundred seventieths
53/56	fifty three fifty sixths
1/2	one half
57/100	fifty seven one hundredths
1/8	one eighth
1 4/8	one and four eighths
2006/7	two thousand six sevenths
4/1	four over one
10/3	ten thirds
4541/3	four thousand five hundred forty one thirds
64/5	sixty four fifths
6/51	six fifty firsts
1/4	one quarter
12/12	twelve twelfths
11/804450	eleven eight hundred four thousand four hundred fiftieths
311/312	three hundred eleven three hundred twelfths
63/2001	sixty three two thousand firsts
1912/3	one thousand nine hundred twelve thirds
14/32	fourteen thirty seconds
245/1948	two hundred forty five one thousand nine hundred forty eighths
29/2	twenty nine halves
5 3/4	five and three quarters
3/8	three eighths
9/27	nine twenty sevenths
2/8	two eighths
-1/4	minus one quarter
7/8	seven eighths
2/3	two thirds
115/2014	one hundred fifteen two thousand fourteenths
11/15	eleven fifteenths
52½	fifty two and a half
8/7	eight sevenths
3½	three and a half
½	one half
4/4	four quarters
27/2	twenty seven halves
27/2	twenty seven halves
10/11	ten elevenths
7½	seven and a half
6/17	six seventeenths
6¾	six and three quarters
358/2	three hundred fifty eight halves
5/23	five twenty thirds
8/2	eight halves
4/4	four quarters
12/8	twelve eighths
9/7	nine sevenths
7/6	seven sixths
75/8	seventy five eighths
1/50	one fiftieth
1946/47	one thousand nine hundred forty six forty sevenths
2009/10	two thousand nine tenths
